area,nombre
Ambiente,Intervenciones Alumbrado
Ambiente,Plan de Alumbrado
Ambiente,Plan de mantenimiento y mejoramiento de Pluviales
Ambiente,Plan de poda
Capital Humano,Apoyos escolares
Capital Humano,Casa de Tierras
Capital Humano,Cine Ciudadela
Capital Humano,Convenios
Capital Humano,Cuaderno Rojo
Capital Humano,Deportes
Capital Humano,Descentralización
Capital Humano,EPIs
Capital Humano,Economia Popular
Capital Humano,"Empleo, inclusión y economía popular"
Capital Humano,Jardines Municipales
Capital Humano,Obras de infraestructura BBPP
Capital Humano,Obras de infraestructura Escolar
Capital Humano,Obras de infraestructura escolar
Capital Humano,Obras de infraestructura escolar en Barrios Populares
Capital Humano,Paramount
Capital Humano,Primera infancia y Niñez
Capital Humano,Protección Social
Capital Humano,Puesta en valor CEDEMs
Capital Humano,UDIs
Obras,Carteleria
Obras,Cuadrilla Municipal
Obras,Cuenca 2
Obras,Demarcación de Calles
Obras,Intervenciones Contratadas
Obras,Intervención Miramar
Obras,Obras Particulares
Obras,Obras pluviales
Obras,Plan de Acupuntura Urbana
Obras,Plan de Bacheo
Obras,Restauración casona Bosch
Obras,SUM
Obras,Sin programa
Obras,Túnel América
Obras,Túnel Hornos
Salud,Cobertura de vacunación
Salud,Facturación
Salud,Inclusión de IA en procesos de la municipalidad
Salud,"Insumos críticos, stock y depósitos"
Salud,Inversión en Salud
Salud,Recupero financiero del sistema de salud
Salud,Same y emergencias
Salud,Telemedicina
Salud,Ver para ser Libres
Seguridad,COM + IA
Seguridad,Comunicación
Seguridad,Ejecución Presupuestaria
Seguridad,Informe
Trabajo y Produccion,Bolsa de Empleo
Trabajo y Produccion,Cursos y Capacitaciones
Trabajo y Produccion,Fiscalizacion
Trabajo y Produccion,Locales abandonados
Trabajo y Produccion,Mapa de empresa
Trabajo y Produccion,Ordenanza
Trabajo y Produccion,RSE
Trabajo y Produccion,Suministro
Trabajo y Produccion,Tecno 3F
