area,titulo,descripcion,estado,origen_tipo,mesa,fecha_limite,ultima_actualizacion,derivacion_en_el_db,cargas_en_el_db,fuente
Ambiente,AySA,Hablar con AySA para solucionar problema de tapa de cloaca · | EDLA,en_curso,mesa,Mesa EDLA,,2026-08-17,Dirección,24,_db cualitativo (auditado 25-28/08)
Ambiente,Basura en escuela n°1,Basura ahorrajada en escuela primaria n°1 · | EDLA,pendiente,mesa,Mesa EDLA,,2026-03-16,,2,_db cualitativo (auditado 25-28/08)
Ambiente,Bosque de Nativas,Ver alguna estrategia de intervención en el bosque más allá de las plantaciones.,pendiente,mesa,Mesa Favelita / El Libertador,,2026-05-25,Dirección,13,_db cualitativo (auditado 25-28/08)
Ambiente,CEA,Priorizar cartelería del CEA con protección adicional,pendiente,seguimiento,,,2026-06-29,Dirección,8,_db cualitativo (auditado 25-28/08)
Ambiente,Cable tipo linga,Evaluar el funcionamiento de la lingas antivandálicas en la curva de la canchita,en_curso,mesa,Mesa Esperanza,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Ambiente,Carreros/ Acumuladores,Ver alguna estrategia de intervención para erradicar la acumulación de basura en el espacio público.,pendiente,mesa,Mesa Favelita / El Libertador,,2026-05-25,Dirección,3,_db cualitativo (auditado 25-28/08)
Ambiente,Caño de agua,Pendiente consultar por parte de Matilda · Mantener la limpieza más allá del caño de agua.,en_curso,mesa,Mesa Esperanza,,2026-06-15,Dirección,7,_db cualitativo (auditado 25-28/08)
Ambiente,Cestos papeleras,Hablar con comercios el tema de la redisposicion de la basura en los cestos,pendiente,seguimiento,,,2026-08-17,Dirección,8,_db cualitativo (auditado 25-28/08)
Ambiente,Cloaquistas,Ya esta al tanto german · Avisar a desarrollo humano si hay algún disturbio con carreros de la zona que no permitan continuar con los trabajo.,en_curso,mesa,Mesa EDLA,,2026-08-17,Dirección,3,_db cualitativo (auditado 25-28/08)
Ambiente,Composteras,Se va armar un curso en septimebre · Sumar a Rodrigo en un encuentro de composteras,en_curso,seguimiento,,,2026-08-17,Dirección,11,_db cualitativo (auditado 25-28/08)
Ambiente,Corrección de artefactos,Realizar un primer proyecto de prueba,pendiente,seguimiento,,,2026-06-22,Dirección,3,_db cualitativo (auditado 25-28/08)
Ambiente,Cotización de servicio de limpieza de arroyo,Pendiente ver antes del operativo. Se encarga coordinación. · Evaluar alguna estrategia de limpieza del arroyo que involucre tener en cuenta el tema cableado,en_curso,mesa,Mesa Esperanza,,2026-08-17,Dirección,19,_db cualitativo (auditado 25-28/08)
Ambiente,Dia del Arbol,29 de agosto · Articular con Capital Humano la plantación,en_curso,seguimiento,,,2026-08-17,Dirección,6,_db cualitativo (auditado 25-28/08)
Ambiente,EDLA,"Pendiente ver con German, no se habló nada todavia. Se hicieron trabajos luego de la lluvia · Coordinar con Infraestructura los trabajos de destapacion de 30 puntos cloacales",en_curso,seguimiento,,,2026-08-17,Dirección,11,_db cualitativo (auditado 25-28/08)
Ambiente,Electricidad,Evaluar la posibilidad de armar un plan regularización de la electricidad con Edenor,pendiente,mesa,Mesa Esperanza,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Ambiente,Empresa xxx,Ver posibilidad de contacto con la empresa,en_curso,mesa,Mesa Esperanza,,2026-04-20,,1,_db cualitativo (auditado 25-28/08)
Ambiente,Esperanza,"No hay presupuesto de luminaria, todavia no se puso la linga. La semana que viene lo colocan · Ver posibilidad de alguna estrategia que no vinclucre el cable para alimentar la electricidad a la luminarias",en_curso,seguimiento,,,2026-08-17,Dirección,11,_db cualitativo (auditado 25-28/08)
Ambiente,Hugo del carril y Paris,Ver si hay alguna camara,pendiente,seguimiento,,,2026-07-27,Dirección,5,_db cualitativo (auditado 25-28/08)
Ambiente,Juventudes,Ver posibilidad de incorporar a la dirección en promoción de jornada,pendiente,mesa,Mesa Favelita / El Libertador,,2026-05-18,Dirección,5,_db cualitativo (auditado 25-28/08)
Ambiente,Kit solar,Ver posibilidad de instalación de un kit sobre la posta policial,pendiente,mesa,Mesa Esperanza,,2026-06-29,Dirección,2,_db cualitativo (auditado 25-28/08)
Ambiente,Limpiezas con frecuencias,Pendiente coordinarlo con DH · Coordinar bajada territorial sobre el riesgo de incendios de los residuos y la ubicación en el barrio de los contendores de residuos,en_curso,mesa,Mesa Esperanza,,2026-08-17,Dirección,6,_db cualitativo (auditado 25-28/08)
Ambiente,Luminaria,Comienza en la canchita · Planificar el esquema antivandalico a partir del entorno de la cancha,en_curso,mesa,Mesa Esperanza,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Ambiente,Oficina sin intenet,Ver con Defensa Civil tema internet en la oficina de defensa civil... · | EDLA,pendiente,mesa,Mesa EDLA,,2026-03-16,,2,_db cualitativo (auditado 25-28/08)
Ambiente,Olavarría y Parodi,se esta planificando · Coordinar visita de Roco alguno de los puntos de erradicación de basura,en_curso,seguimiento,,,2026-06-29,Dirección,4,_db cualitativo (auditado 25-28/08)
Ambiente,Ordenanza poda,Ver posibilidad de cambiar ordenanza vigente desde 1982 y adjudicar responsabilidad al frentista,pendiente,seguimiento,,,2026-06-29,Dirección,10,_db cualitativo (auditado 25-28/08)
Ambiente,Plantacion con Asez Wao,21 de septiembre posiblemente la plantacion con Asez Wao. Pendiente relevamiento del contenedor.,pendiente,seguimiento,,,2026-08-17,Dirección,3,_db cualitativo (auditado 25-28/08)
Ambiente,Plaza Beltran,Poner en valor el bebedero,en_curso,seguimiento,,,2026-08-17,Dirección,6,_db cualitativo (auditado 25-28/08)
Ambiente,Porton,Pendiente porton. Pendiente preguntar a leguiza por el Porton · Pendiente resolver tema portón luego de la realización de la plaza Esperanza,pendiente,mesa,Mesa Esperanza,,2026-08-17,Dirección,25,_db cualitativo (auditado 25-28/08)
Ambiente,Refuerzo lumínico,"Se robaron los cables, se esta solucionando y Eloy habló con Valen sobre el tema. Fueron a reconectar y se volvieron a robar los cables. Jueves y viernes 13/14 se hara la instalacion · Solucionar el problema de luz en la canchita.",en_curso,mesa,Mesa Esperanza,,2026-08-17,Dirección,16,_db cualitativo (auditado 25-28/08)
Ambiente,Salidas semanales con los CAVS,"En junio van a realizar las capacitaciones, entre 1 y 2 jorandas con el CEA. Pendiente cerrar con ATV, se va hacer en Julio · Planificar capacitaciones en conjunto con los CAVS según criterios de carga de datos correctos",en_curso,seguimiento,,,2026-06-15,Dirección,9,_db cualitativo (auditado 25-28/08)
Ambiente,Sendero Stephenson,Plan de alumbrado para principios de septimebre · Evaluar la colocación de farolas según reclamos de vecinos del otro lado del sendero,pendiente,seguimiento,,,2026-08-17,Dirección,14,_db cualitativo (auditado 25-28/08)
Ambiente,Stock de cesto,Modiicar especificaciones del modelo de cestos de la nueva licitacion,pendiente,seguimiento,,,2026-04-27,Dirección,3,_db cualitativo (auditado 25-28/08)
Capital Humano,2. Actividades,Mandar información por comunicación interna de las actividades realizadas en EDLA,pendiente,mesa,Mesa EDLA,,2026-05-04,,1,_db cualitativo (auditado 25-28/08)
Capital Humano,Calendario,Pendiente enviar cronograma de la colonia de invierno,pendiente,seguimiento,,,2026-08-17,Dirección,7,_db cualitativo (auditado 25-28/08)
Capital Humano,EDLA,Reunión sem que viene para ver la planificación y la idea de los proyectos,pendiente,mesa,Mesa EDLA,,2026-03-23,,1,_db cualitativo (auditado 25-28/08)
Capital Humano,EDLA - ISLA,nombre · Ver de migrar actividades hacia la apertura de la nueva cancha “loboli”,en_curso,mesa,Mesa EDLA,,2026-08-17,Dirección,8,_db cualitativo (auditado 25-28/08)
Capital Humano,Entorno descentralización,Ver con SSGG la reja del entorno,pendiente,mesa,Mesa Favelita / El Libertador,,2026-08-17,Dirección,10,_db cualitativo (auditado 25-28/08)
Capital Humano,Envion,Curso de Lideres Deportivos- Comienzo 28/03 (sabados quincenal de 10 a 12 hrs · | EDLA,en_curso,mesa,Mesa EDLA,,2026-03-23,,3,_db cualitativo (auditado 25-28/08)
Capital Humano,Escaleras,Hacer seguimiento tema escalera · | EDLA,pendiente,mesa,Mesa EDLA,,2026-03-23,,3,_db cualitativo (auditado 25-28/08)
Capital Humano,Huerta comunitaria,Enviar a ambiente fotos del espacio donde quieren generar la huerta. Enviar listado de posibles espacios donde armar huertas.,en_curso,mesa,Mesa EDLA,,2026-08-17,Dirección,3,_db cualitativo (auditado 25-28/08)
Capital Humano,Informe,Compartir información a la dirección de operaciones sobre los hechos delictivos relacionados a robos de materiales,pendiente,mesa,Mesa Esperanza,,2026-06-01,Dirección,3,_db cualitativo (auditado 25-28/08)
Capital Humano,Instituto de la vivienda,Ver la posibilidad de avanzar en el reclamo para mejorar las escaleras en conjunto con Legales,en_curso,mesa,Mesa EDLA,,2026-08-17,Dirección,17,_db cualitativo (auditado 25-28/08)
Capital Humano,Isla,Ya empezo la obra de la isla · | EDLA,en_curso,mesa,Mesa EDLA,,2026-03-23,,3,_db cualitativo (auditado 25-28/08)
Capital Humano,Limpieza,Realizar un seguimiento sobre el funcionamiento de las mejoras de limpieza en la zanja con el territorio,pendiente,mesa,Mesa Favelita / El Libertador,,2026-08-17,Dirección,7,_db cualitativo (auditado 25-28/08)
Capital Humano,Misia Pepa,Ver posibilidad de instalar una baranda,pendiente,seguimiento,,,2026-08-17,Dirección,20,_db cualitativo (auditado 25-28/08)
Capital Humano,Monumento a la madre,Planificar una visita al monumento y evaluar intervenciones conjuntas en la zona de talleres,pendiente,mesa,Mesa EDLA,,2026-06-01,Dirección,5,_db cualitativo (auditado 25-28/08)
Capital Humano,Portón entorno Sede Esperanza / Posta sanitaria,Evaluar la construcción con SSGG un esquema en el frente de la posta que involucre materiales más que reja,pendiente,mesa,Mesa Esperanza,,2026-08-17,Dirección,5,_db cualitativo (auditado 25-28/08)
Capital Humano,Posta sanitaria,Pendiente conseguir imágenes del hecho delictivo para poder compartirla con la dirección de operaciones,pendiente,mesa,Mesa Esperanza,,2026-08-17,Dirección,5,_db cualitativo (auditado 25-28/08)
Capital Humano,Propuesta hábitat SSGG y Posta sanitaria,Pendiente definir costos y propuestas del proyecto para ponerlo en marcha,en_curso,mesa,Mesa Esperanza,,2026-08-17,Dirección,3,_db cualitativo (auditado 25-28/08)
Capital Humano,Puntos críticos cloacas - AySa,Ver la posibilidad de intervención de AYSA en el nudo 50,en_curso,mesa,Mesa EDLA,,2026-08-17,Dirección,17,_db cualitativo (auditado 25-28/08)
Capital Humano,Realizar inauguración de la canchita,Realizar inauguración de la canchita,en_curso,mesa,Mesa EDLA,,2026-08-11,Dirección,1,_db cualitativo (auditado 25-28/08)
Capital Humano,Relevamiento,Pendiente conseguir un teléfono de flota para recibir mensajes y llamadas de clubes,pendiente,seguimiento,,,2026-08-17,Dirección,7,_db cualitativo (auditado 25-28/08)
Capital Humano,Relevamiento social familias,Ver si se necesita armar protocolo para el relevamiento.,en_curso,mesa,Mesa Esperanza,,2026-05-25,Dirección,6,_db cualitativo (auditado 25-28/08)
Capital Humano,Reunión vecinal,Coordinar limpieza del espacio junto con la Secretaría de Ambiente,pendiente,mesa,Mesa Favelita / El Libertador,,2026-08-17,Dirección,10,_db cualitativo (auditado 25-28/08)
Capital Humano,Sede Esperanza / Posta sanitaria,Evaluar la posibilidad de colocar un sistema de videovigilancia que involucre sirenas y/o cámaras,pendiente,mesa,Mesa Esperanza,,2026-08-17,Dirección,5,_db cualitativo (auditado 25-28/08)
Capital Humano,Tránsito pesado,Fortalecer el diálogo con vecinos para evitar la circulación del tránsito pesado sobre las nuevas trazas,pendiente,mesa,Mesa Esperanza,,2026-03-23,,5,_db cualitativo (auditado 25-28/08)
Obras,18 viviendas,Coordinar la visita de roco al predio,pendiente,seguimiento,,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Obras,ACCESO POLO LOGÍSTICO,Lo esta viendo Roco y Alberto Nazer · Planificar la posibilidad de si se puede ensanchar calle para el polo logístico,en_curso,seguimiento,,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Obras,Agenda de Roco,"Articular agenda de puntos intervenidos (demarcación, cartera, paradas de colectivo y muralismo)",en_curso,seguimiento,,,2026-07-06,Dirección,4,_db cualitativo (auditado 25-28/08)
Obras,Casita del futuro,Planificar la posibilidad de colocar una malla desplegable,pendiente,seguimiento,,,2026-05-04,Dirección,9,_db cualitativo (auditado 25-28/08)
Obras,Cedem 1,Se esta ejecutando. Pendiente que coordinen con deportes · Priorizar la instalación de luminaria,en_curso,seguimiento,,,2026-08-17,Dirección,14,_db cualitativo (auditado 25-28/08)
Obras,Comunicación,"Armado con empresa de Quilmes, pendiente de fecha. Roco va participar, posiblemente sea un sabado pero del mes de agosto · Articular con comunicación la difusión del observatorio de movilidad en el mes de la seguridad vial",en_curso,seguimiento,,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Obras,Insumo digitales,Ver la compra de insumos tipo tablets para la atención del usuario,pendiente,seguimiento,,,2026-03-23,,4,_db cualitativo (auditado 25-28/08)
Obras,Isla,"Redes cloacales, de agua y eléctrica para Isla en EDLA finaliza en Mayo. Se tiene que encargar Habitat segun Agus. SSGG no esta al tanto · | EDLA",en_curso,mesa,Mesa EDLA,,2026-06-08,Dirección,14,_db cualitativo (auditado 25-28/08)
Obras,Muralismo,"Se esta coordinando, es la ultima parte de la intervencion. Pendiente relevar lugares de intervencion · Articular con ambiente para poder comunicar las intervenciones en puntos en conjunto",en_curso,seguimiento,,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Obras,Observatorio de movilidad,No es prioridad segun Agus,en_curso,seguimiento,,,2026-06-29,Dirección,16,_db cualitativo (auditado 25-28/08)
Obras,Papeles,Pendiente una ordenanza de legales para hacer expedientes digitales · Ver alguna estrategia de reducir el uso de papeles en expedientes,pendiente,seguimiento,,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Obras,Pasillo cementerio,Pasillo cementerio,pendiente,mesa,Mesa Esperanza,,2026-03-23,,5,_db cualitativo (auditado 25-28/08)
Obras,Refugio de bicicletas,Pendiente de SSUU hacer el traslado · Continuar con la relocalización de bicicletas,en_curso,seguimiento,,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Salud,Campaña de salud visual,Ver posibilidad de realizar una campaña de,pendiente,mesa,Mesa EDLA,,,Dirección,10,_db cualitativo (auditado 25-28/08)
Salud,Desglose mensual SAME,Continuar con el control de la demanda de ambulancia de salud en educación,pendiente,seguimiento,,,,Dirección,8,_db cualitativo (auditado 25-28/08)
Salud,Isla de educación EDLA,Coordinar con Capital Humano cuando se inaugure la Isla de educación,en_curso,mesa,Mesa EDLA,,,,1,_db cualitativo (auditado 25-28/08)
Salud,Operativos,Continuar con operativos de salud para mantener la presencia de la Municipalidad,pendiente,mesa,Mesa Esperanza,,,Dirección,4,_db cualitativo (auditado 25-28/08)
Salud,Predio,Continuar con el seguimiento del predio de zoonosis,pendiente,seguimiento,,,,Dirección,8,_db cualitativo (auditado 25-28/08)
Salud,Prueba piloto,Realizar una prueba de judicializar el cobro de las obras sociales con mayor deuda con el municipio,pendiente,seguimiento,,,,Dirección,8,_db cualitativo (auditado 25-28/08)
Salud,Salidas territoriales,Seguir fortaleciendo las salidas territoriales,pendiente,seguimiento,,,,Dirección,8,_db cualitativo (auditado 25-28/08)
Salud,Turnos,Continuar con el proceso de priorización del acceso a personas que sean del distrito,en_curso,seguimiento,,,,Dirección,14,_db cualitativo (auditado 25-28/08)
Salud,Zoonosis,Articular operativo en casita de colores y otros lugares del Norte,pendiente,seguimiento,,,,Dirección,8,_db cualitativo (auditado 25-28/08)
Seguridad,911,Pendiente intensificar folleteria para adultos mayores,pendiente,seguimiento,,,2026-08-17,Dirección,12,_db cualitativo (auditado 25-28/08)
Seguridad,Autos abandonados,Pendiente enviar listado de autos que no se levantaron por Operativos Territoriales,pendiente,mesa,Mesa EDLA,,2026-08-17,Dirección,16,_db cualitativo (auditado 25-28/08)
Seguridad,Ayuda integral a víctimas,"Pendiente coordinar con Diego Presta donde ir y a quien convocar. Se puso en practica con ATV, pero el plan del prgrama no se pudo avanzar. El programa no avanzo",en_curso,seguimiento,,,2026-08-17,Dirección,15,_db cualitativo (auditado 25-28/08)
Seguridad,Base operativas,Examinar si se puede unificar el CP con el comando local y posteriormente ver dónde ubicar en un lugar crítico a la FBA,en_curso,seguimiento,,,2026-06-15,Dirección,8,_db cualitativo (auditado 25-28/08)
Seguridad,COM,"✅ Finalizado - Restauración contenedor COM para mover a R8 y Buen Ayre ||Pendiente traslado, contenedor listo ------------------------------------------------------------------ ⚪ Planificado: - Pendiente definir obras del piso · Obras",pendiente,seguimiento,,,2026-08-17,Dirección,20,_db cualitativo (auditado 25-28/08)
Seguridad,Colectivo Ciudadela,Analizar un plan para solucionar los delitos referente al Colectivo abandonado,en_curso,seguimiento,,,2026-06-15,Dirección,7,_db cualitativo (auditado 25-28/08)
Seguridad,Comisaría 6°,Avanzar con la compactación de autos,pendiente,seguimiento,,,2026-08-17,Dirección,7,_db cualitativo (auditado 25-28/08)
Seguridad,Comisarías,Pendiente coordinar la remoción de vehículos en comisarías,en_curso,seguimiento,,,2026-06-15,Dirección,7,_db cualitativo (auditado 25-28/08)
